         10624935 function calls (9814326 primitive calls) in 9.771 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   240000    1.170    0.000    3.619    0.000 staging.py:159(get_external_potential)
   160001    0.781    0.000    0.781    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
960505/480321    0.731    0.000    2.180    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    80000    0.720    0.000    1.274    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
        1    0.482    0.482    9.326    9.326 staging.py:284(propagate_mcmc_nvt)
   160061    0.395    0.000    0.395    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   160543    0.362    0.000    0.362    0.000 {built-in method numpy.array}
    80000    0.310    0.000    3.291    0.000 staging.py:306(mcmc_translation_one)
   160000    0.241    0.000    0.241    0.000 staging.py:171(<listcomp>)
   240000    0.237    0.000    0.404    0.000 staging.py:146(get_pairwise_potential)
   240000    0.230    0.000    0.230    0.000 {built-in method chem_mcmc.cpp.potentials_cpp.log_gaussian}
    80000    0.223    0.000    1.166    0.000 staging.py:48(are_in_bounds)
   240000    0.221    0.000    1.056    0.000 numeric.py:334(full_like)
   240000    0.206    0.000    4.228    0.000 staging.py:204(get_potential)
   160061    0.202    0.000    0.666    0.000 fromnumeric.py:73(_wrapreduction)
    80000    0.176    0.000    0.554    0.000 _dtype.py:333(_name_get)
    80000    0.175    0.000    0.175    0.000 staging.py:168(<listcomp>)
    80000    0.144    0.000    1.927    0.000 staging.py:262(store_termo)
   800000    0.135    0.000    0.135    0.000 staging.py:107(__iter__)
703469/382517    0.135    0.000    0.212    0.000 {built-in method builtins.len}
   240002    0.134    0.000    0.471    0.000 <__array_function__ internals>:2(empty_like)
   240000    0.130    0.000    1.423    0.000 potentials.py:155(__call__)
   240000    0.118    0.000    0.348    0.000 potentials.py:129(__call__)
   240000    0.118    0.000    0.118    0.000 {built-in method builtins.sum}
   240000    0.116    0.000    1.293    0.000 <__array_function__ internals>:2(full_like)
   240004    0.109    0.000    0.364    0.000 <__array_function__ internals>:2(copyto)
    62870    0.098    0.000    0.312    0.000 staging.py:330(reject_mcmc_move)
   160000    0.098    0.000    0.137    0.000 numerictypes.py:293(issubclass_)
   160061    0.095    0.000    0.761    0.000 fromnumeric.py:2236(any)
   160061    0.090    0.000    0.944    0.000 <__array_function__ internals>:2(any)
